,acct_no,dba,owner,sic_code,sic_desc,full_addr,st_no,st_name,even,zipcode,city,apn_sort,dist_parc_to_sales
5589,132296,MJK PACIFIC CAPITAL INC,MJK PACIFIC CAPITAL INC,6513001.0,Operators Of Apartment Buildings,"10469 WEST CT OAKLAND, CA 94603-2992",10469,WEST CT,False,94603,OAKLAND,045 537004000,0.0
5590,132298,MJK PACIFIC CAPITAL INC,MJK PACIFIC CAPITAL INC,6513001.0,Operators Of Apartment Buildings,"9115 EMPIRE RD OAKLAND, CA 94603-1037",9115,EMPIRE RD,False,94603,OAKLAND,044 507802900,7.138697189397
5591,132302,MJK PACIFIC CAPITAL INC,MJK PACIFIC CAPITAL INC,6513001.0,Operators Of Apartment Buildings,"525 STONEFORD AVE OAKLAND, CA 94603-2158",525,STONEFORD AVE,False,94603,OAKLAND,045 530404200,0.0
5592,132304,MJK PACIFIC CAPITAL INC,MJK PACIFIC CAPITAL INC,6513001.0,Operators Of Apartment Buildings,"1223 92ND AVE OAKLAND, CA 94603-1319",1223,92ND AVE,False,94603,OAKLAND,044 495401300,0.9408003888172092
5593,132307,MJK PACIFIC CAPITAL INC,MJK PACIFIC CAPITAL INC,6513001.0,Operators Of Apartment Buildings,"2301 109TH AVE OAKLAND, CA 94603-4016",2301,109TH AVE,False,94603,OAKLAND,047 556700600,0.0
5594,132309,MJK PACIFIC CAPITAL INC,MJK PACIFIC CAPITAL INC,6513001.0,Operators Of Apartment Buildings,"447 HUNTER AVE OAKLAND, CA 94603-2135",447,HUNTER AVE,False,94603,OAKLAND,045 530600700,0.0
5595,132318,MJK PACIFIC CAPITAL INC,MJK PACIFIC CAPITAL INC,6513001.0,Operators Of Apartment Buildings,"416 STONEFORD AVE OAKLAND, CA 94603-2157",416,STONEFORD AVE,True,94603,OAKLAND,045 530403100,4.64073044195317
5596,132328,ROWLAND WAYNE C & WASHINGTON VANESSA L,"ROWLAND, WAYNE C",6513001.0,Operators Of Apartment Buildings,"1182 100TH AVE OAKLAND, CA 94603-2459",1182,100TH AVE,True,94603,OAKLAND,045 518102300,4.06528410256042
5597,132330,ROWLAND WAYNE C & WASHINGTON VANESSA L,"ROWLAND, WAYNE C",6513001.0,Operators Of Apartment Buildings,"1123 100TH AVE OAKLAND, CA 94603-2408",1123,100TH AVE,False,94603,OAKLAND,045 518101900,13.6031338709867
5598,132352,GBADEBO KAYODE,"GBADEBO, KAYODE",6513001.0,Operators Of Apartment Buildings,"1333 85TH AVE OAKLAND, CA 94621-1626",1333,85TH AVE,False,94621,OAKLAND,042 425401100,0.0
5599,132358,KAUL AUTAR & MANORAMA,"KAUL, AUTAR",6513001.0,Operators Of Apartment Buildings,"9532 CHERRY ST OAKLAND, CA 94603-1636",9532,CHERRY ST,True,94603,OAKLAND,046 544702500,10.071867559960099
5600,132361,D & L PAYMENT CENTER,"West, Daisy V",5999001.0,"Miscellaneous Retail Stores, Not Elsewhere Classified","3439 INTERNATIONAL BLVD OAKLAND, CA 94601-3035",3439,INTERNATIONAL BLVD,False,94601,OAKLAND,033 219602105,12.724723259107803
5601,132370,EPISILON TRADING LLC,"Delta Air Lines Inc,",5171001.0,Petroleum Bulk Stations And Terminals,"1 AIRPORT DR OAKLAND, CA 94621-1430",1,AIRPORT DR,False,94621,OAKLAND,042 441000202,17.707191171078502
5602,132371,J.P. DELIVERY,"Padilla, Lazaro",7389001.0,"Business Services, Not Elsewhere Classified","9017 WALNUT ST OAKLAND, CA 94603-1531",9017,WALNUT ST,False,94603,OAKLAND,046 543300801,12.655389961581
5603,132409,PACIFIC FINANCE & ECONOMICS CONSULTING INC,"ECONOMICS, PACIFIC FINANCE &",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"10448 LONGFELLOW AVE OAKLAND, CA 94603-3446",10448,LONGFELLOW AVE,True,94603,OAKLAND,047 556403200,8.20337352726516
5604,132411,FINANCIAL SOFT LLC,FINANCIAL SOFT LLC,6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"1911 101ST AVE OAKLAND, CA 94603-3351",1911,101ST AVE,False,94603,OAKLAND,047 550301700,0.0
5605,132425,BEYOND SHEET METAL,"RUIZ, ALEJANDRO RIVERA",3444001.0,Sheet Metalwork,"1586 35TH AVE REAR OAKLAND, CA 94601-3529",1586,35TH AVE,True,94601,OAKLAND,033 212904200,7.01537850440045
5606,132446,KAUL SAMEER & AUTAR ETAL,"KAUL, AUTAR K",6513001.0,Operators Of Apartment Buildings,"1073 82ND AVE OAKLAND, CA 94621-2436",1073,82ND AVE,False,94621,OAKLAND,042 424704400,0.0
5607,132455,SILIEZAR DELIA & EDWIN,"Siliezar, Edwin",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"8703 A ST OAKLAND, CA 94621-1623",8703,A ST,False,94621,OAKLAND,042 427100100,8.2634308209617
5608,132458,LE TINH V & MINHTHUAN D TRS,"LE, TINH VAN",6513001.0,Operators Of Apartment Buildings,"4800 CONGRESS AVE OAKLAND, CA 94601-4802",4800,CONGRESS AVE,True,94601,OAKLAND,035 237100100,0.0
5609,132479,PHU JOANNA H TR,"PHU, JOANNA HO",6513001.0,Operators Of Apartment Buildings,"1920 33RD AVE OAKLAND, CA 94601-3022",1920,33RD AVE,True,94601,OAKLAND,033 211703102,5.731264926532741
5610,132500,"AMON PORTER, PH.D. LCSW","PORTER, AMON",8049001.0,"Offices And Clinics Of Health Practitioners, Not Elsewhere Classified","675 HEGENBERGER RD STE 214 OAKLAND, CA 94621-1973",675,HEGENBERGER RD,False,94621,OAKLAND,042 432800116,17.5216043222769
5611,132505,GHILOTTI BROS INC,"GHILOTTI, MICHAEL M",,,"8055 COLLINS DR OAKLAND, CA 94621-1911",8055,COLLINS DR,False,94621,OAKLAND,042 432800116,8.01323804983693
5612,132508,PRASAD KUNTY K TR,"PRASAD, BALESHWAR",6513001.0,Operators Of Apartment Buildings,"5471 FOOTHILL BLVD OAKLAND, CA 94601-5547",5471,FOOTHILL BLVD,False,94601,OAKLAND,035 239002500,7.58184392673148
5613,132512,LITTLEJOHN JAMES R,"LITTLEJOHN, JAMES R",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"4627 CONGRESS AVE OAKLAND, CA 94601-4750",4627,CONGRESS AVE,False,94601,OAKLAND,036 241500100,0.0821231115248936
5614,132519,KAUL AUTAR & MANORAMA,"KAUL, AUTAR",6513001.0,Operators Of Apartment Buildings,"1621 82ND AVE OAKLAND, CA 94621-2203",1621,82ND AVE,False,94621,OAKLAND,040 336501200,3.2354009728799396
5615,132547,LU SHI H & YAN DAISY,"Yan, Shi Lu & Daisy",6512001.0,Operators Of Nonresidential Buildings,"553 66TH AVE OAKLAND, CA 94621-3709",553,66TH AVE,False,94621,OAKLAND,041 390101000,26.3872936564212
5616,132548,SILMI AMJAD,"Silmi, Amjad",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"7115 WELD ST OAKLAND, CA 94621-3145",7115,WELD ST,False,94621,OAKLAND,039 330701200,0.0
5617,132591,250 HEGENBERGER PARTNERS,"Judge, Ishwinder S",6512001.0,Operators Of Nonresidential Buildings,"250 HEGENBERGER RD OAKLAND, CA 94621-1436",250,HEGENBERGER RD,True,94621,OAKLAND,042 442501802,21.1420788473337
5618,132594,LITTLEJOHN JAMES R,"LITTLEJOHN, JAMES R",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"3280 HYDE ST OAKLAND, CA 94601-2611",3280,HYDE ST,True,94601,OAKLAND,027 084302001,2.3572762414041697
5619,132600,RG FUKUDA EQUITY LLC,"Fukuda, Gloria",6513001.0,Operators Of Apartment Buildings,"1463 87TH AVE OAKLAND, CA 94621-1507",1463,87TH AVE,False,94621,OAKLAND,043 458101000,0.0
5620,132659,DORADO TAX & BOOKKEEPING SERVICE,"DORADO, JOSE A",,,"2624 FRUITVALE AVE OAKLAND, CA 94601-2024",2624,FRUITVALE AVE,True,94601,OAKLAND,027 084400100,1.3449185581706598
5621,132736,CCR INSURANCE SERVICES INC,"RYNDA, CAROLINA",,,"5035 INTERNATIONAL BLVD OAKLAND, CA 94601-5215",5035,INTERNATIONAL BLVD,False,94601,OAKLAND,034 227200201,20.7108058631245
5622,132750,FRYDAS INTERNATIONAL DESIGN,"Carrillo, Claudia Del Rosario Ruiz",5661001.0,Shoe Stores,"3280 INTERNATIONAL BLVD OAKLAND, CA 94601-2904",3280,INTERNATIONAL BLVD,True,94601,OAKLAND,033 212300900,3.75767764609415
5623,132807,A & JL INVESTMENT LLC,"Lau, Jeanne",6513001.0,Operators Of Apartment Buildings,"8911 D ST OAKLAND, CA 94621-1139",8911,D ST,False,94621,OAKLAND,042 427900100,4.11403315117608
5624,132820,YUE XIA HUANG,"Huang, Yue Xia",,,"5401 COLISEUM WAY OAKLAND, CA 94601-5021",5401,COLISEUM WAY,False,94601,OAKLAND,034 234101100,18.173726141506698
5625,132832,BARAJAS DANIEL,"Barajas, Daniel",6513001.0,Operators Of Apartment Buildings,"9624 C ST OAKLAND, CA 94603-2425",9624,C ST,True,94603,OAKLAND,044 498100102,1.8651158438281297
5626,132880,SLAFTER STEWART R,"SLAFTER, STEWART",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"4832 GORDON ST OAKLAND, CA 94601-4824",4832,GORDON ST,True,94601,OAKLAND,036 243102000,0.0
5627,132899,ALL AMERICAN FOOD SERVICE,"LOPEZ, SALVADOR",5149001.0,"Groceries And Related Products, Not Elsewhere Classified","8400 BALDWIN ST OAKLAND, CA 94621-1923",8400,BALDWIN ST,True,94621,OAKLAND,042 431804200,10.4966108570601
5628,132921,AMEZCUA JUAN & YURIDIA,"Amezcua, Juan",6513001.0,Operators Of Apartment Buildings,"9025 D ST OAKLAND, CA 94603-1339",9025,D ST,False,94603,OAKLAND,044 495700200,2.82783999180021
5629,132925,MARC CLIFFORD,"MARC, CLIFFORD E",6513001.0,Operators Of Apartment Buildings,"1622 85TH AVE OAKLAND, CA 94621-1747",1622,85TH AVE,True,94621,OAKLAND,043 455401500,2.04434479596725
5630,132936,WALKER RYAN,"WALKER, RYAN",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"347 CHANNEL WAY 134 OAKLAND, CA 94601-2845",347,CHANNEL WAY,False,94601,OAKLAND,026 075002100,0.0
5631,132961,CAL AGRI EQUIPMENT LIGHTING,"Rawlins, Sean",5083001.0,Farm And Garden Machinery And Equipment,"7531 SAN LEANDRO ST OAKLAND, CA 94621-2554",7531,SAN LEANDRO ST,False,94621,OAKLAND,041 417500303,0.0
5632,132969,SARABIA JOSE L & EMMA,"Sarabia, Jose Luis",6513001.0,Operators Of Apartment Buildings,"1455 46TH AVE OAKLAND, CA 94601-4522",1455,46TH AVE,False,94601,OAKLAND,035 235802600,0.0
5633,132971,SARABIA JOSE L & EMMA,"Sarabia, Jose",6513001.0,Operators Of Apartment Buildings,"1923 62ND AVE OAKLAND, CA 94621-4111",1923,62ND AVE,False,94621,OAKLAND,038 321300200,4.59734034222968
5634,132978,APOYO FINANCIERO INC,"MORALES, ANTONINO",6141001.0,Personal Credit Institutions,"1620 HIGH ST # 2B OAKLAND, CA 94601-4536",1620,HIGH ST,True,94601,OAKLAND,048 581300406,15040467.690778399
5635,132986,BEASLEY ALICE M TR,"Beasley, Alice M",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"1909 94TH AVE OAKLAND, CA 94603-1705",1909,94TH AVE,False,94603,OAKLAND,046 545701800,1.47244289210657
5636,132990,MARTIN FILMS,"Meyer, Martin",7812001.0,Motion Picture And Video Tape Production,"2934 FORD ST APT 29 OAKLAND, CA 94601-2842",2934,FORD ST,True,94601,OAKLAND,025 067200200,7.588087491871719
5637,132991,ANTHONY THOMAS & FRANCINE ETAL,"Anthony, Thomas",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"9301 HILLSIDE ST OAKLAND, CA 94603-1923",9301,HILLSIDE ST,False,94603,OAKLAND,046 548402100,10.6809763636464
5638,133013,AMMAR THABET MOHAMMAD NASER,"Nasher, Amar",,,"9755 EDES AVE OAKLAND, CA 94603-4897",9755,EDES AVE,False,94603,OAKLAND,045 530204100,0.0
5639,133028,IRONWOOD COMMERCIAL BUILDERS INC,"Brinkerhoff, Nancy",,,"333 HEGENBERGER RD STE 210F OAKLAND, CA 94621-1452",333,HEGENBERGER RD,False,94621,OAKLAND,042 442501502,0.33194406940661497
5640,133041,JACK IN THE BOX #420,"MELANCON, PAUL D",6513001.0,Operators Of Apartment Buildings,"2424 INTERNATIONAL BLVD OAKLAND, CA 94601-1021",2424,INTERNATIONAL BLVD,True,94601,OAKLAND,020 015400700,5.510343801451469
5641,133042,ROOFLINE INC,"ROSS, RONALD R",5211001.0,Lumber And Other Building Materials Dealers,"900 37TH AVE OAKLAND, CA 94601-3434",900,37TH AVE,True,94601,OAKLAND,033 217901800,11.3315723719357
5642,133048,JACK IN THE BOX #533,"MELANCON, PAUL D",6513001.0,Operators Of Apartment Buildings,"532 HEGENBERGER RD OAKLAND, CA 94621-1320",532,HEGENBERGER RD,True,94621,OAKLAND,042 432300210,31.513883762702104
5643,133066,TAN EVIAN,"TAN, EVIAN",6513001.0,Operators Of Apartment Buildings,"1908 98TH AVE OAKLAND, CA 94603-2704",1908,98TH AVE,True,94603,OAKLAND,046 545400101,6.75199226387845
5644,133083,D & N MAINTENANCE,"Padilla, David",,,"7108 FAVOR ST OAKLAND, CA 94621-3118",7108,FAVOR ST,True,94621,OAKLAND,039 330803100,4.21668466004694
5645,133109,SUBWAY,"GREWAL, NAVDEED S",5812001.0,Eating Places,"4415 FOOTHILL BLVD OAKLAND, CA 94601-4623",4415,FOOTHILL BLVD,False,94601,OAKLAND,035 240200301,3.6585878783300902
5646,134848,SCHRODER WILLIAM P TR,"Tr, Schroder William P",6513001.0,Operators Of Apartment Buildings,"2730 E 7TH ST OAKLAND, CA 94601-2102",2730,E 7TH ST,True,94601,OAKLAND,019 008102401,1.92579349699685
5647,134852,DIAZ BENITO,"BENITO, DIAZ",6513001.0,Operators Of Apartment Buildings,"2636 E 9TH ST OAKLAND, CA 94601-1405",2636,E 9TH ST,True,94601,OAKLAND,019 008200100,16.156333651581303
5648,134854,GONZALEZ ILDEFONSO,"Ildefonso, Gonzalez",6513001.0,Operators Of Apartment Buildings,"2531 E 11TH ST OAKLAND, CA 94601-1424",2531,E 11TH ST,False,94601,OAKLAND,019 009000200,0.0
5649,134861,MAYERON DENNIS,"Dennis, Mayeron",6513001.0,Operators Of Apartment Buildings,"2424 E 11TH ST OAKLAND, CA 94601-1423",2424,E 11TH ST,True,94601,OAKLAND,019 009800600,25.0400043996937
5650,134973,TESFA AKLILU H & TADESSE BELEN,"Belen, Tesfa Aklilu H & Tadesse",6513001.0,Operators Of Apartment Buildings,"2331 E 17TH ST OAKLAND, CA 94601-1133",2331,E 17TH ST,False,94601,OAKLAND,020 020301500,1.42762863345024
5651,135032,CHEN QIAN Y & SIU MICHAEL,"MICHAEL, CHEN QIAN Y & SIU",6513001.0,Operators Of Apartment Buildings,"2421 E 21ST ST OAKLAND, CA 94601-1159",2421,E 21ST ST,False,94601,OAKLAND,021 025002101,0.0
5652,135089,CHU PETER,"Chu, Peter",6513001.0,Operators Of Apartment Buildings,"2428 E 21ST ST OAKLAND, CA 94601-1115",2428,E 21ST ST,True,94601,OAKLAND,021 029301400,5.472954000552759
5653,135384,PEREZ RAMON P & BLAN E,"E, Perez Ramon P & Blan",6513001.0,Operators Of Apartment Buildings,"3047 E 7TH ST A OAKLAND, CA 94601-2836",3047,E 7TH ST,False,94601,OAKLAND,025 066800400,0.0
5654,135386,DUENAS MARIA & ZAMORA ANTONIO C,"Maria, Zamora Marlene C & Duenas",6513001.0,Operators Of Apartment Buildings,"2932 E 7TH ST OAKLAND, CA 94601-2834",2932,E 7TH ST,True,94601,OAKLAND,025 067000200,9.527948893384698
5655,135389,TORRES FRANK J,"J, Torres Frank",6513001.0,Operators Of Apartment Buildings,"2869 FORD ST A OAKLAND, CA 94601-2125",2869,FORD ST,False,94601,OAKLAND,025 067600301,0.0
5656,135394,TRAN HUNG T & DEBBIE T,"Tran, Debbie",6513001.0,Operators Of Apartment Buildings,"1436 25TH AVE OAKLAND, CA 94601-1030",1436,25TH AVE,True,94601,OAKLAND,025 071004902,6.2601996495163394
5657,135396,PHAM THE D & LIEN H TRS,"Pham The D & Lien H Trs,",6513001.0,Operators Of Apartment Buildings,"1522 25TH AVE OAKLAND, CA 94601-1032",1522,25TH AVE,True,94601,OAKLAND,025 071101700,3.63023827181408
5658,135398,SIDMORE LAWRENCE R TR,"Tr, Sidmore Lawrence R",6513001.0,Operators Of Apartment Buildings,"1531 28TH AVE OAKLAND, CA 94601-1659",1531,28TH AVE,False,94601,OAKLAND,025 071300700,0.0
5659,135400,LIU STEPHEN R & CHEN HAI Q,"LIU, STEPHEN",6513001.0,Operators Of Apartment Buildings,"1546 29TH AVE OAKLAND, CA 94601-2311",1546,29TH AVE,True,94601,OAKLAND,025 071400700,0.0
5660,135406,RAMIREZ JESUS & EVA,"RAMIREZ, JESUS",6513001.0,Operators Of Apartment Buildings,"1817 FRUITVALE AVE OAKLAND, CA 94601-2410",1817,FRUITVALE AVE,False,94601,OAKLAND,025 072502500,9.34119158088773
5661,135408,LAU NELSON H & LU SHUN X,"X, Lau Nelson H & Lu Shun",6513001.0,Operators Of Apartment Buildings,"2914 E 19TH ST OAKLAND, CA 94601-2405",2914,E 19TH ST,True,94601,OAKLAND,025 072602300,1.8613479847133
5662,135411,WATKINS RONALD J & VIRGINIA B TRS,"Trs, Watkins Ronald J & Virginia B",6513001.0,Operators Of Apartment Buildings,"1729 28TH AVE OAKLAND, CA 94601-2453",1729,28TH AVE,False,94601,OAKLAND,025 073100700,0.53384882284936
5663,135413,LAI ANNA W & YENN Y,"Y, Lai Anna W & Yenn",6513001.0,Operators Of Apartment Buildings,"2733 E 17TH ST OAKLAND, CA 94601-1609",2733,E 17TH ST,False,94601,OAKLAND,025 073200100,0.0
5664,135434,OSUNDE DANIEL E,"E, Osunde Daniel",6513001.0,Operators Of Apartment Buildings,"2510 E 21ST ST OAKLAND, CA 94601-1806",2510,E 21ST ST,True,94601,OAKLAND,026 074401003,8.17845770424806
5665,135436,DANG MICHAEL,"Michael, Thai Nga M & Dang",6513001.0,Operators Of Apartment Buildings,"2712 E 21ST ST OAKLAND, CA 94601-1810",2712,E 21ST ST,True,94601,OAKLAND,026 074601100,5.80945907080937
5666,135438,TSANG KWOK F,"F, TSANG KWOK",6513001.0,Operators Of Apartment Buildings,"3002 FOOTHILL BLVD OAKLAND, CA 94601-2570",3002,FOOTHILL BLVD,True,94601,OAKLAND,026 074701503,11.5483842414346
5667,135444,CAMERON SCOTT,"Scott, Cameron",6513001.0,Operators Of Apartment Buildings,"2044 AUSTIN ST OAKLAND, CA 94601-2520",2044,AUSTIN ST,True,94601,OAKLAND,026 074802000,5.227021099169599
5668,135459,ARANDA MERINO & VICTOR HARANDA CAMERINO & VICTOR H,"H, Aranda Merino & Victor",6513001.0,Operators Of Apartment Buildings,"2523 E 24TH ST OAKLAND, CA 94601-1207",2523,E 24TH ST,False,94601,OAKLAND,026 076100100,0.0
5669,135462,ROBINSON EVE L,"L, Robinson Eve",6513001.0,Operators Of Apartment Buildings,"2318 25TH AVE OAKLAND, CA 94601-1212",2318,25TH AVE,True,94601,OAKLAND,026 076101402,6.2943122574094605
5670,135466,DINH NANCY A,"A, Dinh Nancy",6513001.0,Operators Of Apartment Buildings,"2910 GALINDO ST OAKLAND, CA 94601-2504",2910,GALINDO ST,True,94601,OAKLAND,026 076701700,4.72354648374829
5671,135469,ADSUARA PERCIVAL C & ANNIE B,"B, ADSUARA PERCIVAL C & ANNIE",6513001.0,Operators Of Apartment Buildings,"3015 BLOSSOM ST OAKLAND, CA 94601-2019",3015,BLOSSOM ST,False,94601,OAKLAND,026 076800301,0.0
5672,135471,MARIN RAMONA & SALOMON A,"A, Marin Ramona & Salomon",6513001.0,Operators Of Apartment Buildings,"3012 LOGAN ST OAKLAND, CA 94601-1927",3012,LOGAN ST,True,94601,OAKLAND,026 076802300,6.06925154962546
5673,135474,LAKE STANLEY,"STANLEY, LAKE",6513001.0,Operators Of Apartment Buildings,"3044 BLOSSOM ST OAKLAND, CA 94601-2020",3044,BLOSSOM ST,True,94601,OAKLAND,026 077003100,2.00427792141985
5674,135480,LAI YUEN S & YUEN W,"W, LAI YUEN S & YUEN",6513001.0,Operators Of Apartment Buildings,"2511 24TH AVE OAKLAND, CA 94601-1248",2511,24TH AVE,False,94601,OAKLAND,026 078001200,0.0
5675,135503,CHOW SAM & HUANG SIMIN,"CHOW, SAM HIU",6513001.0,Operators Of Apartment Buildings,"2384 E 27TH ST OAKLAND, CA 94601-1331",2384,E 27TH ST,True,94601,OAKLAND,026 079802800,5.32222126319614
5676,135509,WILLIAMS DEMETRIUS & NIESHA,"NIESHA, WILLIAMS DEMETRIUS &",6513001.0,Operators Of Apartment Buildings,"2748 GARDEN ST OAKLAND, CA 94601-1340",2748,GARDEN ST,True,94601,OAKLAND,026 081500102,3.35274936711855
5677,135511,SCOTT ALFRED D & RHONDA D,"D, Scott Alfred D & Rhonda",6513001.0,Operators Of Apartment Buildings,"2744 GARDEN ST OAKLAND, CA 94601-1339",2744,GARDEN ST,True,94601,OAKLAND,026 081500102,2.7256076452027593
5678,135515,GUILLEN ARMANDO,"Armando, Guillen",6513001.0,Operators Of Apartment Buildings,"2754 GARDEN ST OAKLAND, CA 94601-1314",2754,GARDEN ST,True,94601,OAKLAND,026 081500104,4.47545371196705
5679,135523,PAN WANDA,"WANDA, PAN",6513001.0,Operators Of Apartment Buildings,"2312 FRUITVALE AVE OAKLAND, CA 94601-2534",2312,FRUITVALE AVE,True,94601,OAKLAND,027 083904500,8.678910854305121
5680,135526,GONZALEZ FRANCISCO J & BEATO ANGEL,"ANGEL, GONZALEZ FRANCISCO J & BEATO",6513001.0,Operators Of Apartment Buildings,"3229 LOGAN ST OAKLAND, CA 94601-2612",3229,LOGAN ST,False,94601,OAKLAND,027 084101700,0.0
5681,135535,JOHNSON JAMES JR ETAL,"Etal, Johnson James Jr",6513001.0,Operators Of Apartment Buildings,"2630 PRENTISS PL OAKLAND, CA 94601-2617",2630,PRENTISS PL,True,94601,OAKLAND,027 084500100,5.76415911106493
5682,135537,PAK DAVID K & JENNIFER N,"K, PAK DAVID",6513001.0,Operators Of Apartment Buildings,"2716 FRUITVALE AVE OAKLAND, CA 94601-2006",2716,FRUITVALE AVE,True,94601,OAKLAND,027 084801400,0.5937527137983171
5683,135573,OLIVOLO PATRICK & ADARNA,"OLIVOLO, ADARNA F",6513001.0,Operators Of Apartment Buildings,"3269 LYNDE ST OAKLAND, CA 94601-2730",3269,LYNDE ST,False,94601,OAKLAND,027 087200102,0.0
5684,135577,RAMOS REFUGIO H,"H, Ramos Refugio",6513001.0,Operators Of Apartment Buildings,"3330 DAVIS ST OAKLAND, CA 94601-2625",3330,DAVIS ST,True,94601,OAKLAND,027 087301000,4.74936900123201
5685,135582,TRAN THERESA T,"T, TRAN THERESA",6513001.0,Operators Of Apartment Buildings,"3442 SALISBURY ST OAKLAND, CA 94601-3134",3442,SALISBURY ST,True,94601,OAKLAND,027 087900500,0.0
5686,135587,ROMERO ELENA C HEIRS OF EST,"Est, Romero Elena C Heirs Of",6513001.0,Operators Of Apartment Buildings,"1935 35TH AVE OAKLAND, CA 94601-3120",1935,35TH AVE,False,94601,OAKLAND,027 088300700,0.0
5687,135762,DOUGLASS MABELLE A,"A, DOUGLASS MABELLE",6513001.0,Operators Of Apartment Buildings,"4514 CONGRESS AVE OAKLAND, CA 94601-4702",4514,CONGRESS AVE,True,94601,OAKLAND,032 204500103,3.8403048802541297
5688,135798,MARTINNELSON CYNTHIA & MARTIN DESIREE L,"CYNTHIA, MARTINNELSON",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"2123 HIGH ST OAKLAND, CA 94601-4335",2123,HIGH ST,False,94601,OAKLAND,032 208201600,12.528015515761002
5689,135801,MONTS GABRIEL W,"W, MONTS GABRIEL",6513001.0,Operators Of Apartment Buildings,"1930 36TH AVE OAKLAND, CA 94601-3622",1930,36TH AVE,True,94601,OAKLAND,032 208405100,4.53871239286532
5690,135803,LI GANG S,"S, Li Gang",6513001.0,Operators Of Apartment Buildings,"3816 FOOTHILL BLVD OAKLAND, CA 94601-4235",3816,FOOTHILL BLVD,True,94601,OAKLAND,032 208702704,3.26294265240556
5691,135811,DASILVA CLEMENTE,"CLEMENTE, DASILVA",6513001.0,Operators Of Apartment Buildings,"2215 SANTA RITA ST OAKLAND, CA 94601-3713",2215,SANTA RITA ST,False,94601,OAKLAND,032 210001200,0.0
5692,135823,DAM MINH & PHAM AN,"An, Dam Minh & Pham",6513001.0,Operators Of Apartment Buildings,"3572 MEADOW ST OAKLAND, CA 94601-3816",3572,MEADOW ST,True,94601,OAKLAND,032 210901200,3.95910166098473
5693,135834,BUI TUONG,"TUONG, BUI",6513001.0,Operators Of Apartment Buildings,"2015 CROSBY AVE OAKLAND, CA 94601-3604",2015,CROSBY AVE,False,94601,OAKLAND,032 211600300,0.0
5694,135837,CHONG BOK K & CHOM S,"Soon, Chong Bok K & Chom",6513001.0,Operators Of Apartment Buildings,"1804 33RD AVE OAKLAND, CA 94601-3020",1804,33RD AVE,True,94601,OAKLAND,033 211802800,8.31312299887894
5695,135841,FURRER PROPERTIES INC,Furrer Properties Inc,6513001.0,Operators Of Apartment Buildings,"1554 FRUITVALE AVE OAKLAND, CA 94601-2349",1554,FRUITVALE AVE,True,94601,OAKLAND,033 212103000,2.19467857375736
5696,135843,ROCHA CARLOS & EVA TRS,"TRS, ROCHA RLOS & EVA",6513001.0,Operators Of Apartment Buildings,"1465 34TH AVE OAKLAND, CA 94601-3023",1465,34TH AVE,False,94601,OAKLAND,033 212404600,3.6527628920935102
5697,135846,FELIZARDO EULALIA TR,"Eulalia, Felizardo",6513001.0,Operators Of Apartment Buildings,"1625 35TH AVE OAKLAND, CA 94601-3613",1625,35TH AVE,False,94601,OAKLAND,033 212400700,5.8401055281315895
5698,135848,JAUREQUI RAQUEL,"RAQUEL, JAUREQUI",6513001.0,Operators Of Apartment Buildings,"3429 E 18TH ST OAKLAND, CA 94601-3003",3429,E 18TH ST,False,94601,OAKLAND,033 212600100,0.0
5699,135854,WONG ZEKE,"Zeke, Wong",6513001.0,Operators Of Apartment Buildings,"1565 36TH AVE OAKLAND, CA 94601-3532",1565,36TH AVE,False,94601,OAKLAND,033 212903500,0.0
5700,135856,PENA FRANCISCO & MARIA D ETAL,"D, PENA FRANCISCO & MARIA",6513001.0,Operators Of Apartment Buildings,"1578 35TH AVE OAKLAND, CA 94601-3529",1578,35TH AVE,True,94601,OAKLAND,033 212904100,5.56198245839242
5701,135860,DOMINGUEZ JOEL,"DOMINGUEZ, JOEL",6513001.0,Operators Of Apartment Buildings,"1702 36TH AVE OAKLAND, CA 94601-3620",1702,36TH AVE,True,94601,OAKLAND,033 212900601,0.0571630302263833
5702,135862,MILAGROS LLC,"MILAGROS LLC,",6513001.0,Operators Of Apartment Buildings,"1832 BRIDGE AVE OAKLAND, CA 94601-3626",1832,BRIDGE AVE,True,94601,OAKLAND,033 213505000,7.5756782507846605
5703,135872,THON JASMIN,"JASMIN, THON",6513001.0,Operators Of Apartment Buildings,"1619 38TH AVE OAKLAND, CA 94601-3556",1619,38TH AVE,False,94601,OAKLAND,033 213604900,0.0
5704,135878,HWANG JACKIE & LEE JAE C ETAL,"C, Hwang Jackie & Lee Jae",6513001.0,Operators Of Apartment Buildings,"1729 39TH AVE OAKLAND, CA 94601-4125",1729,39TH AVE,False,94601,OAKLAND,033 213803401,2.16089749247835
